"id","game_id","timestamp","player_count","on_sale","discount_percent","original_price","final_price","estimated_owners","id","name"
"202","3164500","1744678841","246531","false","0","1999","1999","0 .. 20,000","3164500","Schedule I"
"203","1174180","1744678842","30078","true","75","5999","1499","10,000,000 .. 20,000,000","1174180","Red Dead Redemption 2"
"204","2495100","1744678842","1919","true","20","3999","3199","0 .. 20,000","2495100","Hello Kitty Island Adventure"
"205","1245620","1744678843","29335","false","0","5999","5999","20,000,000 .. 50,000,000","1245620","Elden Ring"
"206","1151340","1744678844","8688","false","0","3999","3999","5,000,000 .. 10,000,000","1151340","Fallout 76"
"207","2933620","1744678844","0","false","0","6999","6999","0 .. 20,000","2933620","Call of Duty: Black Ops 6"
"208","1144200","1744678845","7442","true","50","4999","2499","2,000,000 .. 5,000,000","1144200","Ready or Not"
"209","1449850","1744678846","13633","false","0","","","0 .. 20,000","1449850","Yu-Gi-Oh! Master Duel"
"210","281990","1744678846","10378","false","0","3999","3999","2,000,000 .. 5,000,000","281990","Stellaris"
"211","2379780","1744678847","19635","true","10","1499","1349","2,000,000 .. 5,000,000","2379780","Balatro"
"212","39210","1744678847","24385","false","0","1999","1999","2,000,000 .. 5,000,000","39210","FINAL FANTASY XIV Online"
"213","730","1744682483","633936","false","0","","","100,000,000 .. 200,000,000","730","Counter-Strike 2"
"214","570","1744682483","270035","false","0","","","200,000,000 .. 500,000,000","570","Dota 2"
"215","440","1744682484","43844","false","0","","","20,000,000 .. 50,000,000","440","Team Fortress 2"
"216","578080","1744682485","114442","false","0","","","50,000,000 .. 100,000,000","578080","PUBG"
"217","1172470","1744682486","76944","false","0","","","50,000,000 .. 100,000,000","1172470","Apex Legends"
"218","2767030","1744682487","232480","false","0","","","0 .. 20,000","2767030","Marvel Rivals"
"219","3240220","1744682487","28610","false","0","2999","2999","0 .. 20,000","3240220","Grand Theft Auto V"
"220","250900","1744682488","15642","false","0","1499","1499","10,000,000 .. 20,000,000","250900","Binding of Isaac: Rebirth"
"221","3164500","1744682488","244125","false","0","1999","1999","0 .. 20,000","3164500","Schedule I"
"222","1174180","1744682489","30423","true","75","5999","1499","10,000,000 .. 20,000,000","1174180","Red Dead Redemption 2"
"223","2495100","1744682490","1872","true","20","3999","3199","0 .. 20,000","2495100","Hello Kitty Island Adventure"
"224","1245620","1744682491","29731","false","0","5999","5999","20,000,000 .. 50,000,000","1245620","Elden Ring"
"225","1151340","1744682491","8302","false","0","3999","3999","5,000,000 .. 10,000,000","1151340","Fallout 76"
"226","2933620","1744682492","0","false","0","6999","6999","0 .. 20,000","2933620","Call of Duty: Black Ops 6"
"227","1144200","1744682492","7604","true","50","4999","2499","2,000,000 .. 5,000,000","1144200","Ready or Not"
"228","1449850","1744682493","15252","false","0","","","0 .. 20,000","1449850","Yu-Gi-Oh! Master Duel"
"229","281990","1744682494","10515","false","0","3999","3999","2,000,000 .. 5,000,000","281990","Stellaris"
"230","2379780","1744682495","20071","true","10","1499","1349","2,000,000 .. 5,000,000","2379780","Balatro"
"231","39210","1744682495","24211","false","0","1999","1999","2,000,000 .. 5,000,000","39210","FINAL FANTASY XIV Online"
"232","730","1744686072","656189","false","0","","","100,000,000 .. 200,000,000","730","Counter-Strike 2"
"233","570","1744686073","277882","false","0","","","200,000,000 .. 500,000,000","570","Dota 2"
"234","440","1744686074","43671","false","0","","","20,000,000 .. 50,000,000","440","Team Fortress 2"
"235","578080","1744686074","147417","false","0","","","50,000,000 .. 100,000,000","578080","PUBG"
"236","1172470","1744686075","79014","false","0","","","50,000,000 .. 100,000,000","1172470","Apex Legends"
"237","2767030","1744686076","223888","false","0","","","0 .. 20,000","2767030","Marvel Rivals"
"238","3240220","1744686076","30535","false","0","2999","2999","0 .. 20,000","3240220","Grand Theft Auto V"
"239","250900","1744686078","15690","false","0","1499","1499","10,000,000 .. 20,000,000","250900","Binding of Isaac: Rebirth"
"240","3164500","1744686079","225033","false","0","1999","1999","0 .. 20,000","3164500","Schedule I"
"241","1174180","1744686079","30508","true","75","5999","1499","10,000,000 .. 20,000,000","1174180","Red Dead Redemption 2"
"242","2495100","1744686080","1649","true","20","3999","3199","0 .. 20,000","2495100","Hello Kitty Island Adventure"
"243","1245620","1744686080","29865","false","0","5999","5999","20,000,000 .. 50,000,000","1245620","Elden Ring"
"244","1151340","1744686081","7497","false","0","3999","3999","5,000,000 .. 10,000,000","1151340","Fallout 76"
"245","2933620","1744686082","0","false","0","6999","6999","0 .. 20,000","2933620","Call of Duty: Black Ops 6"
"246","1144200","1744686082","7239","true","50","4999","2499","2,000,000 .. 5,000,000","1144200","Ready or Not"
"247","1449850","1744686083","16311","false","0","","","0 .. 20,000","1449850","Yu-Gi-Oh! Master Duel"
"248","281990","1744686083","10555","false","0","3999","3999","2,000,000 .. 5,000,000","281990","Stellaris"
"249","2379780","1744686084","19492","true","10","1499","1349","2,000,000 .. 5,000,000","2379780","Balatro"
"250","39210","1744686085","22490","false","0","1999","1999","2,000,000 .. 5,000,000","39210","FINAL FANTASY XIV Online"
"251","730","1744689642","646859","false","0","","","100,000,000 .. 200,000,000","730","Counter-Strike 2"
"252","570","1744689643","276106","false","0","","","200,000,000 .. 500,000,000","570","Dota 2"
"253","440","1744689643","42148","false","0","","","20,000,000 .. 50,000,000","440","Team Fortress 2"
"254","578080","1744689644","166692","false","0","","","50,000,000 .. 100,000,000","578080","PUBG"
"255","1172470","1744689644","78170","false","0","","","50,000,000 .. 100,000,000","1172470","Apex Legends"
"256","2767030","1744689645","200439","false","0","","","0 .. 20,000","2767030","Marvel Rivals"
"257","3240220","1744689645","30507","false","0","2999","2999","0 .. 20,000","3240220","Grand Theft Auto V"
"258","250900","1744689646","14488","false","0","1499","1499","10,000,000 .. 20,000,000","250900","Binding of Isaac: Rebirth"
"259","3164500","1744689647","195371","false","0","1999","1999","0 .. 20,000","3164500","Schedule I"
"260","1174180","1744689647","28673","true","75","5999","1499","10,000,000 .. 20,000,000","1174180","Red Dead Redemption 2"
"261","2495100","1744689648","1395","true","20","3999","3199","0 .. 20,000","2495100","Hello Kitty Island Adventure"
"262","1245620","1744689648","27725","false","0","5999","5999","20,000,000 .. 50,000,000","1245620","Elden Ring"
"263","1151340","1744689649","6708","false","0","3999","3999","5,000,000 .. 10,000,000","1151340","Fallout 76"
"264","2933620","1744689649","0","false","0","6999","6999","0 .. 20,000","2933620","Call of Duty: Black Ops 6"
"265","1144200","1744689650","6278","true","50","4999","2499","2,000,000 .. 5,000,000","1144200","Ready or Not"
"266","1449850","1744689650","16642","false","0","","","0 .. 20,000","1449850","Yu-Gi-Oh! Master Duel"
"267","281990","1744689651","10070","false","0","3999","3999","2,000,000 .. 5,000,000","281990","Stellaris"
"268","2379780","1744689652","17512","true","10","1499","1349","2,000,000 .. 5,000,000","2379780","Balatro"
"269","39210","1744689653","19765","false","0","1999","1999","2,000,000 .. 5,000,000","39210","FINAL FANTASY XIV Online"
"270","730","1744693349","720884","false","0","","","100,000,000 .. 200,000,000","730","Counter-Strike 2"
"271","570","1744693349","278094","false","0","","","200,000,000 .. 500,000,000","570","Dota 2"
"272","440","1744693350","40524","false","0","","","20,000,000 .. 50,000,000","440","Team Fortress 2"
"273","578080","1744693350","205128","false","0","","","50,000,000 .. 100,000,000","578080","PUBG"
"274","1172470","1744693351","80475","false","0","","","50,000,000 .. 100,000,000","1172470","Apex Legends"
"275","2767030","1744693351","168105","false","0","","","0 .. 20,000","2767030","Marvel Rivals"
"276","3240220","1744693352","33742","false","0","2999","2999","0 .. 20,000","3240220","Grand Theft Auto V"
